,drift_score,is_drifted
sensor_28,0.8380329914604003,1
sensor_58,0.8330692529361794,1
sensor_440,0.8189013724215262,1
sensor_169,0.8111041978898961,1
sensor_393,0.7973190485414622,1
sensor_304,0.7865899422316663,1
sensor_571,0.7765695689556582,1
sensor_542,0.7681105993917149,1
sensor_132,0.7546194199972756,1
sensor_79,0.7394899529283658,1
sensor_316,0.7336009730218527,1
sensor_527,0.7303256046482328,1
sensor_255,0.7278504047987057,1
sensor_543,0.7041328070967852,1
sensor_56,0.703279708347946,1
sensor_78,0.6964585834444053,1
sensor_417,0.6810234375577052,1
sensor_548,0.6792971027372426,1
sensor_70,0.6630706714234688,1
sensor_319,0.6604543105755896,1
sensor_46,0.6541817836598409,1
sensor_480,0.6480116330849698,1
sensor_66,0.6382087915610561,1
sensor_545,0.6360921156062531,1
sensor_455,0.6271277036599169,1
sensor_279,0.6238816355932115,1
sensor_144,0.6168165376566348,1
sensor_274,0.6110409223098465,1
sensor_170,0.6080765573424931,1
sensor_180,0.6052368481788251,1
sensor_441,0.6031571594267374,0
sensor_139,0.602261535067171,0
sensor_183,0.5988983813862333,0
sensor_45,0.5819266057959154,0
sensor_452,0.5815304088331762,0
sensor_318,0.5543478716429481,0
sensor_25,0.5535808613824181,0
sensor_38,0.5533714650544785,0
sensor_103,0.5492401135560244,0
sensor_71,0.5405048370456406,0
sensor_442,0.5383551313182843,0
sensor_59,0.536461592607535,0
sensor_111,0.5359452579924653,0
sensor_50,0.5359277729625972,0
sensor_31,0.5232623877588611,0
sensor_305,0.5216795566164333,0
sensor_473,0.5203535680743591,0
sensor_8,0.5175608056328843,0
sensor_474,0.5145645286013285,0
sensor_27,0.5112810512522419,0
sensor_22,0.5107469481819216,0
sensor_201,0.5077573691721399,0
sensor_171,0.5012320168387236,0
sensor_306,0.5003054727622355,0
sensor_124,0.48037031745871717,0
sensor_539,0.4697322866965451,0
sensor_62,0.46361215999778016,0
sensor_412,0.4592556123026541,0
sensor_377,0.4492014129342913,0
sensor_182,0.44532073706252007,0
sensor_11,0.4451661319662509,0
sensor_29,0.44101682323183344,0
sensor_267,0.42171757463727155,0
sensor_562,0.42128705179106596,0
sensor_80,0.4178334104125927,0
sensor_405,0.4153186962188729,0
sensor_337,0.4123282230487004,0
sensor_30,0.41054517157748205,0
sensor_555,0.40854846873080375,0
sensor_247,0.40841530555595734,0
sensor_510,0.39929815127305346,0
sensor_544,0.39364743619483744,0
sensor_476,0.38453453279692307,0
sensor_160,0.3842297550091507,0
sensor_77,0.38378475669286616,0
sensor_454,0.37146992436723125,0
sensor_295,0.3693333342992889,0
sensor_484,0.3653184293945883,0
sensor_519,0.3563432931988744,0
sensor_239,0.35470143563465617,0
sensor_355,0.3530295763490616,0
sensor_208,0.346677171959604,0
sensor_547,0.3443979416456085,0
sensor_487,0.34374357729799176,0
sensor_278,0.34189149357142906,0
sensor_433,0.3413724426091091,0
sensor_344,0.34128301043557796,0
sensor_217,0.32535278130192424,0
sensor_122,0.32336158546906324,0
sensor_181,0.3231442044261551,0
sensor_60,0.3195063814063556,0
sensor_317,0.31809400603679827,0
sensor_312,0.3163415686570379,0
sensor_72,0.3150259079393948,0
